"index","id","team_api_id","team_long_name","team_short_name"
"146","21292","10167","Parma","PAR"
"147","22042","9880","Cesena","CES"
"148","22044","9858","Brescia","BRE"
"149","22805","6269","Novara","NOV"
"150","23523","9878","Pescara","PES"
"151","24273","9876","Hellas Verona","VER"
"152","24288","7943","Sassuolo","SAS"
"153","25048","8534","Empoli","EMP"
"154","25791","9891","Frosinone","FRO"
"155","25804","208931","Carpi","CAP"
"156","26547","8277","Vitesse","VIT"
"157","26548","8674","FC Groningen","GRO"
"158","26549","9803","Roda JC Kerkrade","ROD"
"159","26550","8611","FC Twente","TWE"
"160","26551","8525","Willem II","WII"
"161","26552","8593","Ajax","AJA"
"162","26553","8464","N.E.C.","NEC"
"163","26554","8526","De Graafschap","GRA"
"164","26555","9908","FC Utrecht","UTR"
"165","26556","8640","PSV","PSV"
"166","26557","9791","Heracles Almelo","HER"
"167","26558","10235","Feyenoord","FEY"
"168","26559","8614","Sparta Rotterdam","SPA"
"169","26560","10217","ADO Den Haag","HAA"
"170","26561","6601","FC Volendam","VOL"
"171","26562","10228","SC Heerenveen","HEE"
"172","26563","10229","AZ","ALK"
"173","26564","9761","NAC Breda","NAC"
"174","27161","10219","RKC Waalwijk","RKC"
"175","27168","9839","VVV-Venlo","VEN"
"176","27780","10218","Excelsior","EXC"
"177","29000","6413","PEC Zwolle","ZWO"
"178","29617","7788","SC Cambuur","CAM"
"179","29624","6433","Go Ahead Eagles","GAE"
"180","30222","6631","FC Dordrecht","DOR"
"181","31443","10265","Wisła Kraków","WIS"
"182","31444","8031","Polonia Bytom","POB"
"183","31445","8020","Polonia Bytom","GOR"
"184","31446","1601","Ruch Chorzów","CHO"
"185","31447","8673","Legia Warszawa","LEG"
"186","31448","2183","P. Warszawa","PWA"
"187","31449","8025","Śląsk Wrocław","SLA"
"188","31450","8030","Lechia Gdańsk","LGD"
"189","31451","8244","Widzew Łódź","LOD"
"190","31452","8242","Odra Wodzisław","ODR"
"191","31453","2182","Lech Poznań","POZ"
"192","31454","8569","GKS Bełchatów","BEL"
"193","31455","8322","Arka Gdynia","ARK"
"194","31456","1957","Jagiellonia Białystok","BIA"
"195","31457","8028","Piast Gliwice","PIG"
"196","31458","2186","Cracovia","CKR"
"197","31925","8245","Korona Kielce","KKI"
"198","31928","8021","Zagłębie Lubin","ZAG"
"199","32409","8024","Widzew Łódź","WID"
"200","32891","8033","Podbeskidzie Bielsko-Biała","POD"
"201","33377","8023","Pogoń Szczecin","POG"
"202","33855","8027","Zawisza Bydgoszcz","ZAW"
"203","34337","8019","Górnik Łęczna","LEC"
"204","34816","177361","Termalica Bruk-Bet Nieciecza","TBN"
"205","35283","9773","FC Porto","POR"
"206","35284","9807","CF Os Belenenses","BEL"
"207","35285","9768","Sporting CP","SCP"
"208","35286","7992","Trofense","TRO"
"209","35287","7844","Vitória Guimarães","GUI"
"210","35288","10238","Vitória Setúbal","SET"
"211","35289","6403","FC Paços de Ferreira","FER"
"212","35290","10264","SC Braga","BRA"
"213","35291","10213","Amadora","AMA"
"214","35292","10215","Académica de Coimbra","ACA"
"215","35293","7841","Rio Ave FC","RA"
"216","35294","9772","SL Benfica","BEN"
"217","35295","6421","Leixões SC","LEI"
"218","35296","10214","CD Nacional","NAC"
"219","35297","9809","Naval 1° de Maio","NAV"
"220","35298","10212","CS Marítimo","MAR"
"221","35769","9771","União de Leiria, SAD","ULE"
"222","35774","2033","S.C. Olhanense","OLH"
"223","36248","9765","Portimonense","POR"
"224","36253","10211","SC Beira Mar","B-M"
"225","36723","4064","Feirense","FEI"
"226","36735","9764","Gil Vicente FC","GV"
"227","37210","8348","Moreirense FC","MOR"
"228","37214","7842","Estoril Praia","EST"
"229","37696","158085","FC Arouca","ARO"
"230","38173","6547","FC Penafiel","PEN"
"231","38176","8613","Boavista FC","BOA"
"232","38789","6367","Uniao da Madeira","MAD"
"233","38791","188163","Tondela","TON"
"234","39387","8596","Falkirk","FAL"
"235","39388","8548","Rangers","RAN"
"236","39389","9860","Heart of Midlothian","HEA"
"237","39390","9927","Motherwell","MOT"
"238","39391","8597","Kilmarnock","KIL"
"239","39392","10251","Hibernian","HIB"
"240","39393","8485","Aberdeen","ABE"
"241","39394","8066","Inverness Caledonian Thistle","INV"
"242","39395","9925","Celtic","CEL"
"243","39396","9800","St. Mirren","MIR"
"244","39397","8429","Hamilton Academical FC","HAM"
"245","39398","9938","Dundee United","DUU"
"246","39853","8467","St. Johnstone FC","JOH"
"247","40757","8457","Dunfermline Athletic","DUN"
"248","41216","8284","Dundee FC","DUF"
"249","41217","8649","Ross County FC","ROS"
"250","41673","8426","Partick Thistle F.C.","PAR"
"251","43035","10267","Valencia CF","VAL"
"252","43036","8661","RCD Mallorca","MAL"
"253","43037","8371","CA Osasuna","OSA"
"254","43038","10205","Villarreal CF","VIL"
"255","43039","9783","RC Deportivo de La Coruña","COR"
"256","43040","8633","Real Madrid CF","REA"
"257","43041","8388","CD Numancia","NUM"
"258","43042","8634","FC Barcelona","BAR"
"259","43043","8696","Racing Santander","SAN"
"260","43044","8302","Sevilla FC","SEV"
"261","43045","9869","Real Sporting de Gijón","SPG"
"262","43046","8305","Getafe CF","GET"
"263","43047","8603","Real Betis Balompié","BET"
"264","43048","8479","RC Recreativo","HUE"
"265","43049","8558","RCD Espanyol","ESP"
"266","43050","10281","Real Valladolid","VAL"
"267","43051","8315","Athletic Club de Bilbao","BIL"
"268","43052","9865","UD Almería","ALM"
"269","43053","9906","Atlético Madrid","AMA"
"270","43054","9864","Málaga CF","MAL"
"271","43800","9868","Xerez Club Deportivo","XER"
"272","43803","8394","Real Zaragoza","ZAR"
"273","43804","9867","CD Tenerife","TEN"
"274","44557","10278","Hércules Club de Fútbol","HER"
"275","44565","8581","Levante UD","LEV"
"276","44569","8560","Real Sociedad","SOC"
"277","45330","7878","Granada CF","GRA"
"278","45333","8370","Rayo Vallecano","RAY"
"279","46087","9910","RC Celta de Vigo","CEL"
"280","46848","10268","Elche CF","ELC"
"281","47605","8372","SD Eibar","EIB"
"282","47612","7869","Córdoba CF","COR"
"283","48358","8306","UD Las Palmas","LAS"
"284","49115","9956","Grasshopper Club Zürich","GRA"
"285","49116","6493","AC Bellinzona","BEL"
"286","49117","10192","BSC Young Boys","YB"
"287","49118","9931","FC Basel","BAS"
"288","49119","9930","FC Aarau","AAR"
"289","49120","10179","FC Sion","SIO"
"290","49121","10199","FC Luzern","LUZ"
"291","49122","9824","FC Vaduz","VAD"
"292","49123","7955","Neuchâtel Xamax","XAM"
"293","49124","10243","FC Zürich","ZUR"
"294","49479","10190","FC St. Gallen","GAL"
"295","49837","10191","FC Thun","THU"
"296","50201","9777","Servette FC","SER"
"297","50204","7730","FC Lausanne-Sports","LAU"
"298","51606","7896","Lugano","LUG"
